"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1201.1500",0,0,-3.05636385217885,-4.99472842129542,0
"CM002236.1.1501.1800",0,0,-2.98313389204347,-4.91554049172466,0
"CM002236.1.1801.2100",0,0,-3.53955475253602,-5.4436415388988,0
"CM002236.1.2101.2400",0,0,-3.68193683478399,-4.38372767929397,0
"CM002236.1.2401.2700",0,0,-4.5848575371829,-5.23431016047263,-1.50897817106845
"CM002236.1.3301.3600",0,0,-2.62130948427369,0,0
"CM002236.1.3601.3900",0,0,-2.05958550269739,0,0
"CM002236.1.3901.4200",0,0,0,-1.47904942594286,0
"CM002236.1.4201.4500",0,0,-2.18447679751087,0,0
"CM002236.1.4501.4800",0,0,-2.74173175223342,-1.66004965197321,0
"CM002236.1.4801.5100",0,0,-1.82822191837444,0,0
"CM002236.1.5101.5400",0,0,-2.99025348656965,-2.52520525224918,0
"CM002236.1.5401.5700",0,0,-3.64904928291746,-2.28401886079036,0
"CM002236.1.5701.6000",0,0,-4.10900396796023,-3.82368374609098,0
"CM002236.1.6001.6300",0,0,-3.97285626945938,-3.30850614469997,0
"CM002236.1.9301.9600",0,0,-2.22605590751679,0,0
"CM002236.1.9601.9900",0,0,0,0,0
"CM002236.1.9901.10200",0,0,0,0,0
"CM002236.1.10201.10500",0,0,0,0,0
"CM002236.1.10501.10800",0,0,0,0,0
"CM002236.1.10801.11100",0,0,0,0,0
"CM002236.1.11101.11400",0,0,-1.93854523897973,0,0
"CM002236.1.11401.11700",0,0,-2.44675240641639,0,0
"CM002236.1.11701.12000",0,0,-2.35964644091005,-1.83172274781323,0
"CM002236.1.12001.12300",0,0,-3.67983345843811,-2.14439953027034,0
"CM002236.1.12301.12600",0,0,-4.34965407649217,-2.98146006109456,0
"CM002236.1.12601.12900",0,0,-4.74476934669994,-3.28593843922104,0
"CM002236.1.12901.13200",0,0,-4.35111365776361,-3.18026487538365,0
"CM002236.1.16201.16500",0,0,-2.5378773286131,-2.53957831889776,0
"CM002236.1.17701.18000",0,0,-3.42928629857886,-2.38174303167345,0
"CM002236.1.18001.18300",0,0,-3.46404826499734,-2.5146600661723,0
"CM002236.1.18301.18600",0,0,-4.57580405121903,-3.05981003833057,0
"CM002236.1.18601.18900",0,0,-3.74434247717099,-3.37302386809082,0
"CM002236.1.18901.19200",0,0,-3.53264949871892,-2.89506044545769,0
"CM002236.1.19201.19500",0,0,-2.54183790869878,-1.75531709836854,0
"CM002236.1.34801.35100",0,0,-2.90260506646442,-2.92745723496703,0
"CM002236.1.35101.35400",0,0,-3.95380852014726,-3.13772796104396,0
"CM002236.1.35401.35700",0,0,-3.67295996815017,-3.75583383915924,0
"CM002236.1.35701.36000",0,0,-4.66313238519435,-3.60718554125531,0
"CM002236.1.36001.36300",0,0,-4.01090801539056,-3.42158187528182,0
"CM002236.1.36301.36600",0,0,-3.80554711674289,-3.83101031771247,0
"CM002236.1.36601.36900",0,0,-4.3461869294114,-3.51906508082635,0
"CM002236.1.36901.37200",0,0,-4.54064245553323,-3.32502662946301,0
"CM002236.1.37201.37500",0,0,-4.27358855346594,-4.10786584963593,0
"CM002236.1.37501.37800",0,0,-4.44913752670103,-3.36838078748815,0
"CM002236.1.37801.38100",0,0,-4.484200078327,-3.12014326208927,0
"CM002236.1.38101.38400",0,0,-4.39732325015062,-3.15875339606261,0
"CM002236.1.38401.38700",0,0,-4.27719671992653,-3.32920186658843,0
"CM002236.1.38701.39000",0,0,-4.28921344033658,-3.77836308133338,0
"CM002236.1.41101.41400",-1.78202994384135,-2.16705419052974,-4.789864083925,-3.7417437031186,0
"CM002236.1.41401.41700",-1.57989697553554,-1.69564465763965,-4.12147221904687,-3.17474178344625,0
"CM002236.1.41701.42000",0,-1.70204608129332,-4.15019995094798,-3.60063888992223,0
"CM002236.1.42001.42300",0,-1.40397348788474,-4.62947149775136,-3.61035932936732,0
"CM002236.1.42301.42600",0,0,-5.10339602431176,-3.60232494040345,0
"CM002236.1.43801.44100",0,0,-4.24804964058794,-3.97787656324889,0
"CM002236.1.44101.44400",0,0,-3.97323247262549,-4.00841854277789,0
"CM002236.1.45601.45900",0,0,-3.94863448463949,-3.05006636286553,0
"CM002236.1.45901.46200",0,0,-3.43388507023633,-2.3155036552809,0
"CM002236.1.46201.46500",0,0,-3.40513709567058,-2.97344080600341,0
"CM002236.1.46501.46800",0,0,-3.01769905312958,-2.92140520173922,0
"CM002236.1.46801.47100",0,0,-3.2283732329252,-2.20044063248987,0
"CM002236.1.47101.47400",0,0,-2.67723583832792,0,0
"CM002236.1.47401.47700",0,0,-2.95221869506716,-1.72381445949972,0
"CM002236.1.47701.48000",0,0,-2.2427030691581,-1.67253972739411,0
"CM002236.1.49501.49800",0,0,-2.92617262835189,-2.17411991703152,0
"CM002236.1.49801.50100",0,0,-3.33190638753476,0,0
"CM002236.1.50101.50400",0,0,-2.4755421325597,-1.48463784726308,0
"CM002236.1.50401.50700",0,0,-2.15537576666329,-1.39869103346729,0
"CM002236.1.50701.51000",0,0,-1.72504200022561,0,0
"CM002236.1.51001.51300",0,0,0,0,0
"CM002236.1.51301.51600",0,0,-1.47726226144684,0,0
"CM002236.1.51601.51900",0,0,0,0,0
"CM002236.1.51901.52200",0,0,0,0,0
"CM002236.1.52201.52500",0,0,0,0,0
"CM002236.1.52501.52800",0,0,0,0,0
"CM002236.1.53401.53700",0,0,0,0,0
"CM002236.1.53701.54000",0,0,0,0,0
"CM002236.1.54001.54300",0,0,0,0,0
"CM002236.1.54901.55200",0,0,0,0,0
"CM002236.1.55201.55500",0,0,0,0,0
"CM002236.1.55501.55800",0,0,0,0,0
"CM002236.1.55801.56100",0,0,0,0,0
"CM002236.1.56101.56400",0,0,0,0,0
"CM002236.1.56401.56700",0,0,0,0,0
"CM002236.1.56701.57000",0,0,0,0,0
"CM002236.1.57001.57300",0,0,0,0,0
"CM002236.1.57301.57600",0,0,0,0,0
"CM002236.1.57601.57900",0,0,-1.62038889825557,0,0
"CM002236.1.59401.59700",0,0,-3.37836794292031,-1.9440791579009,0
"CM002236.1.59701.60000",0,0,-1.99130325716734,-1.83199212946965,0
"CM002236.1.60001.60300",0,0,-1.90077116695044,0,0
"CM002236.1.60301.60600",0,0,-2.10529573216375,-1.53156120569391,0
"CM002236.1.60601.60900",0,0,-1.53831640382797,0,0
"CM002236.1.62101.62400",0,0,-4.29567992539528,-1.92934003752047,0
"CM002236.1.62401.62700",0,0,-3.03004810599772,-2.04641311122534,0
"CM002236.1.91501.91800",0,0,-3.88409255401573,-3.18731454500172,0
"CM002236.1.91801.92100",0,0,-3.64385662371832,-2.71730639861426,0
"CM002236.1.92101.92400",0,0,-4.03604217768874,-3.09249819117796,0
"CM002236.1.93601.93900",0,0,-3.04809379568346,-2.12545538002449,0
"CM002236.1.93901.94200",0,0,-3.26281371165988,-2.16176043011975,0
"CM002236.1.94201.94500",0,0,-3.12979081417965,-1.98879716872164,0
"CM002236.1.94501.94800",0,0,-2.51914599657996,-2.41170566805037,0
"CM002236.1.94801.95100",0,0,-2.62499159039511,-1.9374769473285,0
"CM002236.1.95101.95400",0,0,0,0,0
"CM002236.1.95401.95700",0,0,0,-1.45554593993459,0
"CM002236.1.95701.96000",0,0,-1.78602938390325,-1.61986035553365,0
"CM002236.1.96001.96300",0,0,-2.77200339198826,-1.59017839267663,0
"CM002236.1.96301.96600",0,0,-2.92982640007671,-1.74606587059913,0
"CM002236.1.96601.96900",0,0,-2.32354189597097,0,1.54038176951872
"CM002236.1.96901.97200",0,0,-1.62395973407407,0,1.4633150403565
