"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",-0.610207444645946,0.302821319854677,2.06130993621361,1.98269688404392
"CM002236.1.1501.1800",0.739482287011535,0.973022553655475,3.73659576655457,4.44201665107173
"CM002236.1.1801.2100",-0.0841447144437741,0.394838371596607,3.285379929145,3.31146291870129
"CM002236.1.3301.3600",-0.0143659172765784,-0.216929187078429,-1.30934586628495,0.510764363608488
"CM002236.1.5401.5700",0.431768628618838,0.505026450190557,2.48906482124765,0.889033744397933
"CM002236.1.5701.6000",-0.689779651497701,-0.433025986957412,1.86189104874646,0.292061722720603
"CM002236.1.11101.11400",-0.565363426257318,-0.602964165859435,1.93609978465634,1.01399216978605
"CM002236.1.11401.11700",0.143300192690622,-0.552425842355737,2.23453964061614,1.60353316498341
"CM002236.1.11701.12000",-0.198711136974456,0.0961730744666399,2.72812792012415,1.11802163677597
"CM002236.1.12001.12300",0.0785742939005325,0.312833107858729,2.94482045591923,1.52193685429451
"CM002236.1.15601.15900",0.715663820548657,0.311751708540309,2.3249000710628,0.83373729883941
"CM002236.1.15901.16200",0.766200795377591,1.13906551308531,3.06847436522091,1.56660849173176
"CM002236.1.16201.16500",1.13702717104092,1.38911971168752,2.89812310432656,0.430341423905717
"CM002236.1.17401.17700",0.135344833106262,0.983229496692756,2.95694179741511,1.29789486537233
"CM002236.1.17701.18000",-0.870881255305313,1.97765155375434,3.17917290370162,2.86863518031909
"CM002236.1.18001.18300",-0.817257598648218,1.78313384718743,2.90008522389578,2.89524577743684
"CM002236.1.18301.18600",-0.889225485784276,0.783334059403688,2.12719119758674,2.29901778475151
"CM002236.1.18601.18900",-1.02106068503093,1.31152191153513,1.91031206864378,2.39991895014744
"CM002236.1.34501.34800",0.0701736567912112,0.0744814776784338,1.90859130292259,1.00869602004369
"CM002236.1.34801.35100",0.14329013361176,0.161507904993215,2.84080665224859,1.88553141267521
"CM002236.1.35101.35400",-0.9023730475793,0.0886761732588666,2.57550676339009,1.7878999740366
"CM002236.1.35401.35700",-0.197117929349638,0.333646460885768,2.06182917921201,1.57675210701075
"CM002236.1.35701.36000",-0.700982970704294,0.523480830051619,1.95208862360156,1.90276412541783
"CM002236.1.36001.36300",-0.174605460955915,1.81963811697593,2.63281887297465,3.02476564153129
"CM002236.1.36301.36600",-0.788545863258304,0.925557237930479,2.36684702044358,2.72344143778178
"CM002236.1.41701.42000",0.23171005531751,0.10116932684246,2.78020752528944,0.50649641794341
"CM002236.1.42001.42300",-0.987003251675646,-0.239996434370743,2.14300743203622,-0.425634405180025
"CM002236.1.42301.42600",-0.521911436198701,0.166539913944898,2.36473931961939,-0.228811557826061
"CM002236.1.42601.42900",-0.43267259342054,0.300539532559779,1.9488040395633,0.283490413997298
"CM002236.1.42901.43200",0.128084423681407,0.513790095227322,1.94440324334372,-0.719380160074436
"CM002236.1.45901.46200",0.0328919875730554,0.413586637226009,2.74938893558001,1.58553048438076
"CM002236.1.46201.46500",0.830137923171352,1.33730132707257,3.83958041177758,2.17403404980648
"CM002236.1.46501.46800",1.10568858539509,2.01033340074852,4.40754886185304,2.88112222200027
"CM002236.1.46801.47100",0.309394325158583,0.77303108085623,3.38222844445269,2.2712451299752
"CM002236.1.47101.47400",0.530805561064235,1.90397762320898,3.49605948447881,2.76462295040365
"CM002236.1.47401.47700",-0.663179713199055,0.720655330046434,2.70895232589958,1.81536629607476
"CM002236.1.47701.48000",0.783533546288264,1.32801991944714,2.94383718780431,1.92619446543897
"CM002236.1.51001.51300",0.167884503025238,0.340822227365835,1.5612929408694,0.598700640231881
"CM002236.1.51301.51600",0.972558846483049,0.655779255553689,2.77297488211366,1.43587611341263
"CM002236.1.51601.51900",-0.22003280223578,-0.333443873970356,1.78953113927912,0.934264140585236
"CM002236.1.52201.52500",0.459461784280668,-0.0798727093316901,1.48540635915683,0.975610099392827
"CM002236.1.56401.56700",-0.112716735859118,-0.293948283678202,1.15826320272506,0.290924550957743
"CM002236.1.56701.57000",-0.121955014710764,-0.366182695191517,1.5234632394878,0.766331972844046
"CM002236.1.57001.57300",-0.0468032667251104,-0.655641061788744,1.62927068622435,0.499829389398188
"CM002236.1.99601.99900",0.781252470883281,1.06640331022057,1.91236029184786,0.662603181762722
"CM002236.1.100501.100800",0.46446745268403,1.38662074428651,1.69758128466367,0.390950846981876
"CM002236.1.104401.104700",-0.464447189075253,0.481116331228195,1.29314893698164,0.856615237180225
"CM002236.1.104701.105000",-0.0402239007547339,-0.110773789463643,1.74543906185321,1.46050007090533
"CM002236.1.105001.105300",0.311949978668398,0.2247211664391,1.58889694880482,1.22246645139894
"CM002236.1.105301.105600",-0.0317097850251186,-0.0592728211313697,1.52709135507832,0.915006360366672
"CM002236.1.113701.114000",0.629817837970451,0.830681502138204,1.39192986169564,0.465737402150992
"CM002236.1.128401.128700",0.119454752671767,1.22082553653387,2.4074516300767,0.0776590594658018
"CM002236.1.128701.129000",0.62219886450595,2.48489222234913,3.34736226711511,0.820868016585967
